,1837,tl
`,95,No_lang
~,400,No_lang
~~,44,No_lang
=,91,No_lang
>,48,No_lang
|,64,No_lang
_,1870,No_lang
__,365,No_lang
___,206,No_lang
____,90,No_lang
_____,63,No_lang
______,39,No_lang
¯\_(ツ)_/¯,44,ja
-,8622,No_lang
- -,179,No_lang
--,1439,No_lang
---,770,No_lang
----,918,No_lang
-----,546,No_lang
------,362,No_lang
-------,234,No_lang
--------,204,No_lang
---------,149,No_lang
----------,113,No_lang
-----------,100,No_lang
------------,90,No_lang
-------------,67,No_lang
--------------,54,No_lang
---------------,56,No_lang
----------------,51,No_lang
------------------,37,No_lang
--------------------,40,No_lang
",",548,No_lang
",,",50,No_lang
",,,",46,No_lang
;,52,No_lang
;),98,No_lang
:,136,No_lang
: ),36,No_lang
:-),296,No_lang
:),1344,No_lang
!,635,No_lang
!!,67,No_lang
!!!,68,No_lang
?,1926,No_lang
??,235,No_lang
???,299,No_lang
????,143,No_lang
?????,83,No_lang
??????,49,No_lang
/,472,No_lang
//,115,No_lang
///,61,No_lang
.,12065,No_lang
. .,73,No_lang
. . .,89,No_lang
..,1280,No_lang
...,1696,No_lang
....,1959,No_lang
.....,1065,No_lang
......,570,No_lang
.......,405,No_lang
........,255,No_lang
.........,197,No_lang
..........,171,No_lang
...........,141,No_lang
............,126,No_lang
.............,88,No_lang
..............,72,No_lang
...............,53,No_lang
................,58,No_lang
.................,48,No_lang
..................,43,No_lang
...................,39,No_lang
',254,No_lang
"""",84,No_lang
""" """,39,No_lang
"""""",78,No_lang
@,460,No_lang
$,91,No_lang
$$$,41,No_lang
*,1447,No_lang
**,712,No_lang
***,1028,No_lang
****,380,No_lang
*****,416,No_lang
******,207,No_lang
*******,131,No_lang
********,100,No_lang
*********,77,No_lang
**********,76,No_lang
***********,41,No_lang
*************,39,No_lang
\,79,No_lang
#,215,No_lang
+,132,No_lang
—,502,No_lang
•,102,No_lang
…,36,No_lang
☆,44,No_lang
☺,71,No_lang
♡,46,No_lang
あ,122,ja
ー,99,ja
,36,No_lang
？,66,No_lang
—-,83,No_lang
👍,85,No_lang
😀,146,No_lang
😁,75,No_lang
😃,89,No_lang
😄,48,No_lang
😉,44,No_lang
😊,331,No_lang
😎,99,No_lang
🙂,57,No_lang
——,76,No_lang
❤️,102,No_lang
なし,2600,ja
ひら,44,ja
대표,88,ko
사장,43,ko
교육 관리 비즈니스인,50,ko
🇺🇸,49,No_lang
ひみつ,51,ja
ソニー,38,ja
チーフ,85,ja
パート,61,ja
フリー,196,ja
オーナー,237,ja
スタッフ,136,ja
デザイン,74,ja
メンバー,98,ja
メーカー,37,ja
ライター,48,ja
リーダー,244,ja
アルバイト,170,ja
エンジニア,362,ja
カメラマン,39,ja
デザイナー,285,ja
パートナー,38,ja
プランナー,90,ja
プログラマ,56,ja
マネジャー,113,ja
マネージャ,75,ja
アシスタント,46,ja
アソシエイト,47,ja
アドバイザー,40,ja
アーティスト,43,ja
エキスパート,36,ja
ディレクター,308,ja
パナソニック,90,ja
フリーランス,645,ja
プログラマー,65,ja
マネージャー,768,ja
インターネット,78,ja
コンサルタント,376,ja
チームリーダー,68,ja
フリーライター,39,ja
プロデューサー,161,ja
マーケティング,60,ja
イラストレーター,70,ja
グループリーダー,46,ja
コンサルティング,89,ja
フォトグラファー,37,ja
アートディレクター,40,ja
エンターテイメント,61,ja
システムエンジニア,154,ja
シニアマネージャー,54,ja
シニアコンサルタント,90,ja
アカウントマネージャー,39,ja
グラフィックデザイナー,57,ja
ソフトウェアエンジニア,44,ja
ファッション・アパレル,121,ja
アシスタントマネージャー,38,ja
プロジェクトマネージャー,53,ja
コンピューターハードウェア,42,ja
0,1745,No_lang
00,158,No_lang
000,163,No_lang
0000,134,No_lang
00000,112,No_lang
000000,48,No_lang
007,52,No_lang
01,55,No_lang
0311,85,No_lang
0wner,608,cy
1,1327,No_lang
#1,98,No_lang
10,238,No_lang
100,143,No_lang
100%,51,No_lang
10000,39,No_lang
11,183,No_lang
111,162,No_lang
1111,85,No_lang
11111,46,No_lang
11b,46,tr
11B,114,de
11B Infantry,46,en
11B Infantryman,41,cy
12,172,No_lang
123,607,No_lang
1234,117,No_lang
12345,109,No_lang
123456,79,No_lang
19D Cavalry Scout,60,en
1L,173,fr
1LT,153,fr
1SG,342,de
1st,126,no
1st AC,39,en
1st AD,53,en
1st Assistant,68,fi
1st Assistant Accountant,74,en
1st Assistant Camera,45,en
1st Assistant Director,187,en
1st Assistant Editor,57,en
1st Assistant Engineer,63,en
1st Assistant Golf Professional,107,en
1st assistant manager,41,en
1st Assistant Manager,189,en
1st cook,73,en
1st Cook,65,nl
1st Engineer,110,nl
1st grade teacher,1063,en
1st grade Teacher,106,de
1st Grade teacher,41,en
1st Grade Teacher,1985,de
1st Lieutenant,192,fr
1st line support,42,fr
1st Line Support,94,fr
1st Line Support Analyst,49,en
1st Line Support Engineer,52,en
1st Lt,40,fr
1st Mate,56,en
1stSgt,46,da
1st Vice President,219,en
1st VP,90,no
1 year,39,tr
2,509,No_lang
